,89352HAD1 Corp,013817AK7 Corp,959802AH2 Corp,959802AH2 Corp_3,EG5889142 Corp,891092AE8 Corp,013817AK7 Corp_6
Company,TransCanada PipeLines Ltd,Howmet Aerospace Inc,Western Union Co/The,Western Union Co/The,DP World Ltd/United Arab Emirates,Toro Co/The,Howmet Aerospace Inc
Ticker,TRPCN,HWM,WU,WU,DPWDU,TTC,HWM
Rating,BBB,BBB,BBB,BBB,BBB,BBB,BBB
Issue Date,2007-10-05 00:00:00,2007-01-25 00:00:00,2007-02-06 00:00:00,2007-02-06 00:00:00,2007-07-02 00:00:00,2007-04-26 00:00:00,2007-01-25 00:00:00
Maturity Date,2037-10-15 00:00:00,2037-02-01 00:00:00,2036-11-17 00:00:00,2036-11-17 00:00:00,2037-07-02 00:00:00,2037-05-01 00:00:00,2037-02-01 00:00:00
Coupon ,6.2,5.95,6.2,6.2,6.85,6.625,5.95
Tenor (days),10968,10965,10877,10877,10958,10963,10965
2017-12-08 00:00:00,131.133,131.133,109.979,98.051,123.714,125.221,108.701
2017-12-11 00:00:00,130.988,130.988,109.859,98.223,123.722,125.067,108.567
2017-12-12 00:00:00,131.108,131.108,109.765,98.327,124.039,124.946,108.681
2017-12-13 00:00:00,131.974,131.974,110.536,98.24,124.004,125.791,108.795
2017-12-14 00:00:00,132.145,132.145,110.685,98.114,124.433,125.946,108.685
2017-12-15 00:00:00,132.243,132.243,110.751,98.216,124.427,126.073,108.815
2017-12-18 00:00:00,131.55,131.55,110.121,98.119,123.714,125.341,107.828
2017-12-19 00:00:00,130.847,130.847,109.328,98.166,123.613,124.571,108.28
2017-12-20 00:00:00,129.94,129.94,109.32,98.177,123.029,123.971,108.704
2017-12-21 00:00:00,130.259,130.259,110.45,98.419,123.104,124.052,108.921
2017-12-22 00:00:00,130.641,130.641,110.23,98.657,122.999,124.303,109.138
2017-12-26 00:00:00,130.898,130.898,109.832,98.713,123.202,124.509,109.364
2017-12-27 00:00:00,131.928,131.928,110.259,98.858,123.952,125.277,109.689
2017-12-28 00:00:00,131.629,131.629,109.895,98.654,123.267,124.984,109.047
2017-12-29 00:00:00,131.9,131.9,110.016,98.844,123.518,125.223,109.24
2018-01-02 00:00:00,131.033,131.033,109.005,98.595,122.909,124.476,109.451
2018-01-03 00:00:00,131.335,131.335,109.146,99.102,123.357,124.539,110.055
2018-01-04 00:00:00,131.672,131.672,109.144,99.454,123.967,124.552,109.546
2018-01-05 00:00:00,131.2,131.2,108.913,99.196,124.197,124.189,109.285
2018-01-08 00:00:00,131.274,131.274,108.947,99.077,124.176,124.187,109.478
2018-01-09 00:00:00,130.338,130.338,108.015,98.877,123.821,123.077,109.99
2018-01-10 00:00:00,130.401,130.401,107.947,99.263,124.41,123.12,109.555
2018-01-11 00:00:00,130.776,130.776,108.077,99.353,124.415,123.214,109.825
2018-01-12 00:00:00,131.193,131.193,108.535,99.256,124.706,123.33,110.29
2018-01-16 00:00:00,131.233,131.233,108.654,99.025,124.719,123.349,110.117
2018-01-17 00:00:00,131.026,131.026,108.038,99.015,124.418,122.736,110.357
2018-01-18 00:00:00,130.187,130.187,107.594,98.663,124.225,122.02,110.282
2018-01-19 00:00:00,129.564,129.564,106.835,98.932,123.857,120.82,110.224
2018-01-22 00:00:00,129.729,129.729,107.112,99.334,124.546,121.062,110.151
2018-01-23 00:00:00,130.302,130.302,107.823,99.546,125.215,121.825,110.313
2018-01-24 00:00:00,129.83,129.83,107.451,100.179,124.841,121.358,110.02
2018-01-25 00:00:00,130.579,130.579,108.075,100.451,125.725,122.021,109.979
2018-01-26 00:00:00,129.894,129.894,107.582,100.198,125.381,121.419,110.111
2018-01-29 00:00:00,129.269,129.269,107.217,99.982,125.59,120.877,109.571
2018-01-30 00:00:00,129.007,129.007,107.072,99.845,125.315,120.634,108.298
2018-01-31 00:00:00,129.086,129.086,107.32,100.02,125.366,120.671,109.422
2018-02-01 00:00:00,127.722,127.722,106.452,99.686,124.593,119.479,108.609
2018-02-02 00:00:00,127.3,127.3,105.913,99.713,124.889,118.832,108.222
2021-04-02 00:00:00,131.632,131.632,123.807,97.093,130.172,130.81,120.402
2021-04-05 00:00:00,131.067,131.067,124.198,98.396,130.399,130.81,121.456
2021-04-06 00:00:00,132.084,132.084,124.08,98.567,130.846,130.911,121.772
2021-04-07 00:00:00,131.901,131.901,123.595,99.112,131.066,130.619,121.267
2021-04-08 00:00:00,132.236,132.236,124.191,99.717,132.14,131.45,121.936
2021-04-09 00:00:00,132.552,132.552,123.146,99.713,131.232,130.867,121.552
2021-04-12 00:00:00,132.579,132.579,123.386,99.556,132.232,130.932,121.152
2021-04-13 00:00:00,134.108,134.108,123.997,100.24,132.843,131.799,121.7
2021-04-14 00:00:00,132.781,132.781,123.772,99.057,132.841,131.797,121.328
2021-04-15 00:00:00,133.417,133.417,123.928,99.222,133.413,132.552,121.23
2022-11-22 00:00:00,103.361,103.361,99.581,87.828,100.819,102.329,95.047
2022-11-23 00:00:00,103.319,103.319,99.574,88.169,101.304,102.918,95.365
2022-11-25 00:00:00,103.338,103.338,100.646,88.162,101.371,102.945,95.782
2022-11-28 00:00:00,103.315,103.315,100.375,89.233,101.6,102.939,95.871
2022-11-29 00:00:00,102.255,102.255,99.709,90.748,102.433,102.456,95.254
2022-11-30 00:00:00,104.842,104.842,101.366,92.377,104.824,103.63,96.738
2022-12-01 00:00:00,105.861,105.861,101.762,93.201,106.171,104.606,95.961
2022-12-02 00:00:00,106.629,106.629,102.479,93.212,106.429,104.777,97.341
2022-12-05 00:00:00,106.221,106.221,100.766,92.792,106.367,103.959,97.506
2022-12-06 00:00:00,105.47,105.47,101.093,92.315,106.251,104.486,96.752
2023-02-14 00:00:00,106.012,106.012,102.555,96.102,112.784,107.285,98.124
2023-02-15 00:00:00,105.69,105.69,102.146,96.001,112.18,106.595,98.293
2023-02-16 00:00:00,104.417,104.417,101.361,95.359,112.148,105.989,98.582
2023-02-17 00:00:00,104.75,104.75,102.301,95.542,111.962,106.435,98.046
2023-02-21 00:00:00,103.153,103.153,98.734,94.617,110.868,105.146,97.378
2023-02-22 00:00:00,103.612,103.612,99.073,94.125,110.75,105.505,98.004
2023-02-23 00:00:00,103.246,103.246,99.735,94.157,111.575,105.839,99.168
2023-02-24 00:00:00,103.718,103.718,98.837,93.651,111.647,105.162,98.678
2023-02-27 00:00:00,103.485,103.485,99.077,94.08,111.585,105.317,99.07
2023-02-28 00:00:00,102.992,102.992,98.866,93.958,111.47,105.216,99.065
2023-03-01 00:00:00,102.236,102.236,98.429,94.101,111.359,104.694,98.543
2024-03-28 00:00:00,104.615,104.615,103.134,101.062,109.131,107.929,103.305
2024-04-01 00:00:00,103.42,103.42,102.087,100.85,109.25,106.979,102.672
2024-04-02 00:00:00,103.051,103.051,101.735,100.558,108.92,106.638,102.153
2024-04-03 00:00:00,103.841,103.841,102.069,100.161,108.917,106.772,102.397
2024-04-04 00:00:00,103.197,103.197,102.656,100.619,108.978,106.984,102.418
2024-04-05 00:00:00,102.775,102.775,101.867,100.036,108.288,106.234,101.833
2024-04-08 00:00:00,103.215,103.215,101.586,100.531,108.478,106.11,101.811
2024-04-09 00:00:00,103.356,103.356,101.748,100.614,108.939,108.344,102.246
2024-04-10 00:00:00,101.931,101.931,100.33,99.166,107.908,106.731,100.977
2024-04-11 00:00:00,101.454,101.454,99.855,99.525,106.77,106.301,100.58
2024-04-12 00:00:00,101.555,101.555,100.466,99.923,106.673,106.932,101.094
2024-04-15 00:00:00,100.217,100.217,99.969,99.723,106.416,106.208,100.241
2024-04-16 00:00:00,99.355,99.355,98.52,99.38,105.767,105.587,99.515
2024-04-17 00:00:00,100.337,100.337,99.77,100.229,106.036,106.125,100.247
2024-04-18 00:00:00,100.185,100.185,99.596,98.638,105.942,105.755,99.954
2024-04-19 00:00:00,100.398,100.398,99.82,98.791,105.835,105.84,100.122
2024-04-22 00:00:00,100.322,100.322,100.169,99.2,106.091,105.883,100.429
2024-04-23 00:00:00,100.791,100.791,100.288,99.453,106.065,105.924,100.501
2024-04-24 00:00:00,100.156,100.156,99.95,99.046,105.785,105.534,100.214
2024-04-25 00:00:00,99.38,99.38,99.541,98.237,105.377,104.986,99.765
2024-04-26 00:00:00,100.637,100.637,100.388,98.649,105.551,105.323,100.138
2024-04-29 00:00:00,101.039,101.039,100.362,98.92,105.914,105.764,100.675
2024-04-30 00:00:00,100.158,100.158,99.764,97.899,105.527,105.192,99.946
2024-05-01 00:00:00,100.655,100.655,100.052,98.946,105.486,105.605,100.537
2024-05-02 00:00:00,101.154,101.154,100.724,99.321,106.065,106.045,101.033
2024-05-03 00:00:00,102.256,102.256,101.323,98.927,106.341,106.713,101.741
2024-11-01 00:00:00,104.693,104.693,102.079,101.285,109.978,108.226,104.567
2024-11-04 00:00:00,105.207,105.207,102.931,101.644,110.297,109.124,105.489
2024-11-05 00:00:00,105.38,105.38,103.201,101.501,110.502,109.424,105.682
2024-11-06 00:00:00,104.496,104.496,102.375,100.305,109.471,108.398,104.859
2024-11-07 00:00:00,105.307,105.307,103.191,101.358,110.233,108.891,105.985
2024-11-08 00:00:00,105.787,105.787,103.695,101.203,110.144,109.551,106.089
2024-11-12 00:00:00,104.819,104.819,102.397,100.688,109.911,108.329,105.067
2024-11-13 00:00:00,104.398,104.398,102.117,100.864,109.675,106.823,104.747
2024-11-14 00:00:00,104.333,104.333,101.839,100.617,109.393,106.667,104.294
2024-11-15 00:00:00,104.438,104.438,102.237,100.328,109.373,106.66,104.853
2024-11-18 00:00:00,104.797,104.797,102.402,100.462,109.33,106.767,105.382
2024-11-19 00:00:00,104.763,104.763,102.277,100.276,109.231,106.599,105.321
2024-11-20 00:00:00,104.806,104.806,102.072,100.472,109.381,106.857,105.134
2024-11-21 00:00:00,104.83,104.83,101.853,100.725,109.358,108.999,105.034
2024-11-22 00:00:00,105.441,105.441,101.969,100.808,109.197,108.312,105.397
2024-11-25 00:00:00,106.564,106.564,103.125,101.662,109.821,110.044,106.511
2024-11-26 00:00:00,105.849,105.849,102.797,101.399,109.834,109.752,105.921
2024-11-27 00:00:00,106.052,106.052,103.025,101.818,109.99,109.902,106.113
2024-11-29 00:00:00,106.917,106.917,103.937,102.525,110.518,110.699,106.98
2024-12-02 00:00:00,106.921,106.921,103.843,102.436,110.288,110.509,107.137
2024-12-03 00:00:00,106.648,106.648,103.582,101.132,110.237,110.34,106.761
2024-12-04 00:00:00,106.866,106.866,103.786,101.359,110.663,110.743,107.23
2024-12-05 00:00:00,106.951,106.951,104.037,101.647,110.869,110.847,107.337
2024-12-06 00:00:00,106.778,106.778,104.304,101.562,111.281,111.085,107.571
2024-12-09 00:00:00,106.253,106.253,104.14,101.623,110.932,110.591,107.138
2024-12-10 00:00:00,106.319,106.319,104.005,100.47,110.822,109.663,107.067
2024-12-11 00:00:00,106.237,106.237,103.907,99.409,110.817,109.228,106.573
2024-12-12 00:00:00,106.064,106.064,103.334,98.936,110.412,108.693,105.922
2024-12-13 00:00:00,104.98,104.98,103.011,98.514,110.434,108.126,105.368
2024-12-16 00:00:00,104.679,104.679,103.399,98.714,110.604,108.654,105.375
2024-12-17 00:00:00,105.076,105.076,103.117,98.521,110.268,108.602,105.276
2024-12-18 00:00:00,103.664,103.664,101.694,98.175,109.843,107.673,104.035
2024-12-19 00:00:00,103.133,103.133,101.332,97.615,109.22,107.169,103.57
2024-12-20 00:00:00,103.232,103.232,101.91,97.726,109.154,107.397,104.03
2024-12-23 00:00:00,103.026,103.026,101.57,97.127,108.864,106.801,103.423
2024-12-24 00:00:00,103.286,103.286,101.73,97.03,108.76,106.806,103.663
2024-12-26 00:00:00,103.26,103.26,101.849,97.213,108.817,106.834,103.883
2024-12-27 00:00:00,102.704,102.704,101.673,97.277,108.797,106.23,103.452
2024-12-30 00:00:00,103.323,103.323,102.077,97.326,108.945,107.011,104.095
2024-12-31 00:00:00,103.163,103.163,101.355,97.299,108.932,106.64,103.599
2025-01-02 00:00:00,102.898,102.898,101.513,97.793,108.674,106.172,103.513
2025-01-03 00:00:00,102.88,102.88,101.219,97.531,108.363,106.036,103.243
2025-01-06 00:00:00,102.944,102.944,100.679,97.285,108.052,105.303,102.883
2025-01-07 00:00:00,102.083,102.083,99.781,97.662,107.777,104.761,102.404
2025-01-08 00:00:00,101.62,101.62,99.891,97.756,107.271,104.882,102.36
2025-01-09 00:00:00,101.816,101.816,99.938,97.389,106.954,104.915,102.363
2025-01-10 00:00:00,101.253,101.253,99.436,97.603,106.466,104.424,101.792
2025-01-13 00:00:00,100.88,100.88,99.43,97.783,106.17,103.949,101.7
2025-01-14 00:00:00,100.808,100.808,99.371,98.377,105.882,103.928,101.346
2025-01-15 00:00:00,102.376,102.376,100.695,99.151,106.438,105.016,102.63
2025-01-16 00:00:00,102.471,102.471,100.905,99.078,106.183,105.37,102.883
2025-01-17 00:00:00,102.377,102.377,100.729,99.191,106.216,105.246,102.928
2025-01-21 00:00:00,103.371,103.371,101.113,99.363,106.728,105.631,103.345
2025-01-22 00:00:00,102.872,102.872,100.742,99.451,106.817,105.422,103.202
2025-01-23 00:00:00,102.085,102.085,100.226,99.687,106.57,104.718,102.943
2025-01-24 00:00:00,102.629,102.629,100.305,99.9,106.843,104.863,103.21
2025-01-27 00:00:00,103.798,103.798,100.776,99.512,106.935,105.615,103.935
2025-01-28 00:00:00,103.344,103.344,100.995,100.13,106.964,105.661,104.199
2025-01-29 00:00:00,103.509,103.509,100.861,100.002,107.423,105.725,104.067
2025-01-30 00:00:00,103.301,103.301,100.961,99.923,107.391,105.712,104.129
2025-01-31 00:00:00,103.438,103.438,100.854,100.089,108.11,105.449,103.846
2025-02-03 00:00:00,102.681,102.681,100.556,99.928,107.397,105.429,103.676
2025-02-04 00:00:00,103.385,103.385,100.902,100.04,107.888,105.866,104.008
2025-02-05 00:00:00,104.437,104.437,101.802,100.419,108.395,106.637,104.857
2025-02-06 00:00:00,103.834,103.834,101.649,100.316,108.426,106.667,104.464
2025-02-07 00:00:00,103.383,103.383,101.179,99.918,108.082,106.045,103.75
2025-02-10 00:00:00,103.427,103.427,101.344,100.717,108.267,106.079,103.812
2025-02-11 00:00:00,103.208,103.208,101.086,100.432,107.848,106.222,103.418
2025-02-12 00:00:00,102.601,102.601,100.318,99.862,107.005,105.084,102.842
2025-02-13 00:00:00,103.259,103.259,101.138,100.863,107.838,105.811,103.511
2025-02-14 00:00:00,103.954,103.954,101.671,100.637,108.232,106.536,104.268
2025-02-18 00:00:00,103.692,103.692,101.287,100.437,107.741,105.961,103.467
2025-02-19 00:00:00,103.162,103.162,101.299,100.372,107.837,106.044,103.745
2025-02-20 00:00:00,103.193,103.193,101.305,100.231,108.129,106.322,103.727
2025-02-21 00:00:00,103.738,103.738,101.893,99.976,108.377,106.679,104.241
2025-02-24 00:00:00,104.029,104.029,102.229,99.867,109.035,107.178,104.577
2025-02-25 00:00:00,104.756,104.756,102.956,99.737,109.358,107.992,105.532
2025-02-26 00:00:00,105.685,105.685,102.979,99.87,109.563,108.404,105.974
2025-02-27 00:00:00,104.677,104.677,102.522,99.893,109.816,108.523,105.863
2025-02-28 00:00:00,104.773,104.773,102.389,99.956,110.119,109.09,105.928
2025-03-03 00:00:00,105.131,105.131,102.759,100.198,110.517,109.652,106.628
2025-03-04 00:00:00,104.456,104.456,102.325,100.159,110.368,108.95,105.682
2025-03-05 00:00:00,104.351,104.351,102.447,100.003,110.456,108.611,105.425
2025-03-06 00:00:00,104.164,104.164,102.449,99.722,110.127,108.669,105.424
2025-03-07 00:00:00,104.052,104.052,102.417,99.635,110.456,108.492,105.217
2025-03-10 00:00:00,104.397,104.397,102.728,99.811,110.712,109.264,105.485
2025-03-11 00:00:00,103.26,103.26,101.455,99.261,110.547,108.564,104.414
2025-03-12 00:00:00,103.45,103.45,100.966,99.374,110.38,108.205,104.097
2025-03-13 00:00:00,103.706,103.706,101.108,99.583,110.193,108.576,104.086
2025-03-14 00:00:00,103.817,103.817,100.998,99.638,109.97,108.206,103.932
2025-03-17 00:00:00,103.823,103.823,101.069,99.766,110.217,108.357,104.257
2025-03-18 00:00:00,103.765,103.765,101.254,99.833,110.258,108.609,104.441
2025-03-19 00:00:00,104.447,104.447,101.879,100.094,110.549,108.974,104.957
2025-03-20 00:00:00,104.343,104.343,102.015,99.78,110.859,109.17,104.863
2025-03-21 00:00:00,104.015,104.015,101.901,99.568,111.171,109.109,104.644
2025-03-24 00:00:00,103.368,103.368,101.493,99.318,110.449,108.356,103.961
2025-03-25 00:00:00,103.456,103.456,101.683,100.122,110.678,110.186,104.244
2025-03-26 00:00:00,103.098,103.098,101.426,99.812,110.541,110.136,104.045
2025-03-27 00:00:00,102.954,102.954,101.3,99.616,110.54,110.356,103.94
2025-03-28 00:00:00,103.6,103.6,101.895,99.742,111.233,111.422,104.661
2025-03-31 00:00:00,103.198,103.198,101.983,98.468,111.087,111.828,104.676
2025-04-01 00:00:00,104.092,104.092,102.02,98.804,111.419,112.088,104.846
2025-04-02 00:00:00,104.517,104.517,102.781,99.854,112.081,112.271,105.635
2025-04-03 00:00:00,104.162,104.162,102.6,98.973,111.274,112.57,105.422
2025-04-04 00:00:00,102.858,102.858,100.77,97.694,110.495,113.119,105.058
2025-04-07 00:00:00,100.277,100.277,99.059,95.257,110.038,112.07,102.372
2025-04-08 00:00:00,99.766,99.766,97.058,95.873,109.286,111.618,101.482
2025-04-09 00:00:00,101.188,101.188,97.7,95.5,107.059,110.556,101.555
2025-04-10 00:00:00,99.004,99.004,97.394,95.257,107.764,110.009,100.798
2025-04-11 00:00:00,99.687,99.687,97.064,94.573,106.651,109.397,100.867
2025-04-14 00:00:00,100.282,100.282,98.213,95.362,107.334,108.488,101.67
2025-04-15 00:00:00,100.574,100.574,98.925,95.704,107.692,109.26,102.585
2025-04-16 00:00:00,101.409,101.409,98.895,95.351,107.595,109.15,102.429
